flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
True,2012,FLORIDA,FL,12,59,43,US HOUSE,24,gen,,False,FREDERICA S. WILSON,DEMOCRAT,False,TOTAL,1,1,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,25,gen,,False,MARIO DIAZ-BALART,REPUBLICAN,False,TOTAL,151466,200229,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,1,gen,,False,JACK KINGSTON,REPUBLICAN,False,TOTAL,157181,249580,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,2,gen,,False,"SANFORD D. BISHOP, JR.",DEMOCRAT,False,TOTAL,162751,255161,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,3,gen,,False,LYNN A. WESTMORELAND,REPUBLICAN,False,TOTAL,232380,232380,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,4,gen,,False,"HENRY C. ??HANK?? JOHNSON, JR.",DEMOCRAT,False,TOTAL,208861,283902,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,5,gen,,False,JOHN LEWIS,DEMOCRAT,False,TOTAL,234330,277665,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,6,gen,,False,TOM PRICE,REPUBLICAN,False,TOTAL,189669,294034,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,7,gen,,False,ROB WOODALL,REPUBLICAN,False,TOTAL,156689,252066,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,8,gen,,False,AUSTIN SCOTT,REPUBLICAN,False,TOTAL,197789,197789,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,9,gen,,False,DOUG COLLINS,REPUBLICAN,False,TOTAL,192101,252153,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,10,gen,,False,PAUL C. BROUN,REPUBLICAN,False,TOTAL,211065,211065,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,11,gen,,False,PHIL GINGREY,REPUBLICAN,False,TOTAL,196968,287321,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,12,gen,,False,JOHN BARROW,DEMOCRAT,False,TOTAL,139148,259121,False,20201202,False
False,2012,GEORGIA,GA,13,58,44,US HOUSE,13,gen,,False,DAVID SCOTT,DEMOCRAT,False,TOTAL,201988,281538,False,20201202,False
False,2012,HAWAII,HI,15,95,82,US HOUSE,1,gen,,False,COLLEEN W. HANABUSA,DEMOCRAT,False,TOTAL,116505,217876,False,20201202,False
False,2012,HAWAII,HI,15,95,82,US HOUSE,2,gen,,False,TULSI GABBARD,DEMOCRAT,False,TOTAL,168503,219283,False,20201202,False
False,2012,IDAHO,ID,16,82,63,US HOUSE,1,gen,,False,RA_L R. LABRADOR,REPUBLICAN,False,TOTAL,199402,316724,False,20201202,False
False,2012,IDAHO,ID,16,82,63,US HOUSE,2,gen,,False,MICHAEL K. SIMPSON,REPUBLICAN,False,TOTAL,207412,318494,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,1,gen,,False,BOBBY L. RUSH,DEMOCRAT,False,TOTAL,236854,320844,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,2,gen,,False,"JESSE L. JACKSON, JR.",DEMOCRAT,False,TOTAL,188303,297712,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,3,gen,,False,DANIEL LIPINSKI,DEMOCRAT,False,TOTAL,168738,246398,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,4,gen,,False,LUIS V. GUTIERREZ,DEMOCRAT,False,TOTAL,133226,160509,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,5,gen,,False,MIKE QUIGLEY,DEMOCRAT,False,TOTAL,177729,270377,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,6,gen,,False,PETER J. ROSKAM,REPUBLICAN,False,TOTAL,193138,326129,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,7,gen,,False,DANNY K. DAVIS,DEMOCRAT,False,TOTAL,242439,286435,False,20201202,False
True,2012,ILLINOIS,IL,17,33,21,US HOUSE,8,gen,,False,TAMMY DUCKWORTH,DEMOCRAT,False,TOTAL,123206,225066,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,9,gen,,False,JANICE D. SCHAKOWSKY,DEMOCRAT,False,TOTAL,194869,293807,False,20201202,False
True,2012,ILLINOIS,IL,17,33,21,US HOUSE,10,gen,,False,BRAD SCHNEIDER,DEMOCRAT,False,TOTAL,133890,264454,False,20201202,False
True,2012,ILLINOIS,IL,17,33,21,US HOUSE,11,gen,,False,BILL FOSTER,DEMOCRAT,False,TOTAL,148928,254295,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,12,gen,,False,WILLIAM L. ENYART,DEMOCRAT,False,TOTAL,157000,303949,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,13,gen,,False,RODNEY DAVIS,REPUBLICAN,False,TOTAL,137034,294385,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,14,gen,,False,RANDY HULTGREN,REPUBLICAN,False,TOTAL,177603,301954,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,15,gen,,False,JOHN SHIMKUS,REPUBLICAN,False,TOTAL,205775,299937,False,20201202,False
False,2012,ILLINOIS,IL,17,33,21,US HOUSE,16,gen,,False,ADAM KINZINGER,REPUBLICAN,False,TOTAL,181789,294090,False,20201202,False
